id,title_spanish,title_english,director,raw_line,raw_text
177,Avaricia criminal,,Ron Wolotzky,177 Avaricia criminal Dir.Ron Wolotzky,177 Avaricia criminal Dir.Ron Wolotzky
178,Avatar,,James Cameron,178 Avatar Dir. James Cameron.,178 Avatar Dir. James Cameron.
179,Avengers,Los vengadores,Joss Whedon,179 Avengers = Los vengadores Dir. Joss Whedon,179 Avengers = Los vengadores Dir. Joss Whedon
180,Aventuras de Juan Quin Quin,,Julio García Espinosa,180 Aventuras de Juan Quin Quin Dir. Julio García Espinosa,180 Aventuras de Juan Quin Quin Dir. Julio García Espinosa
181,"Aventuras de Pito Pérez, Las",,Juan Bustillo Oro,"181 Aventuras de Pito Pérez, Las Dir. Juan Bustillo Oro","181 Aventuras de Pito Pérez, Las Dir. Juan Bustillo Oro"
182,"Aviador, El",The aviator,Martin Scorsese,"182 Aviador, El = The aviator Dir. Martin Scorsese.","182 Aviador, El = The aviator Dir. Martin Scorsese."
183,"Avispón verde, El",The green hornet,Michel Gondry,"183 Avispón verde, El = The green hornet Dir. Michel Gondry","183 Avispón verde, El = The green hornet Dir. Michel Gondry"
184,Azúcar amarga Bitter sugar,,León Ichaso,184 Azúcar amarga Bitter sugar Dir. León Ichaso,184 Azúcar amarga Bitter sugar Dir. León Ichaso
185,B. Monkey sin salida,,Michael Radford,185 B. Monkey sin salida Dir. Michael Radford,185 B. Monkey sin salida Dir. Michael Radford
186,Backstage,,"Bercot, Emmanuelle, 1967-","186 Backstage Dir. Bercot, Emmanuelle, 1967-","186 Backstage Dir. Bercot, Emmanuelle, 1967-"
187,¿Bailamos?,,Peter Chelsom,187 ¿Bailamos? Dir.Peter Chelsom.,187 ¿Bailamos? Dir.Peter Chelsom.
188,Bailando con el corazón,,Nick Hurran,188 Bailando con el corazón Dir. Nick Hurran,188 Bailando con el corazón Dir. Nick Hurran
189,the dark,,,189 the dark,189 the dark
190,Bait tsunami,Carnada,Kimble Rendall,190 Bait tsunami = Carnada Dir.Kimble Rendall,190 Bait tsunami = Carnada Dir.Kimble Rendall
191,it,,,191 it,191 it
192,Bajo la metralla,,Felipe Cazals,192 Bajo la metralla Dir. Felipe Cazals,192 Bajo la metralla Dir. Felipe Cazals
193,Bajo sospecha,,Stephen Hopkins,193 Bajo sospecha Dir. Stephen Hopkins..,193 Bajo sospecha Dir. Stephen Hopkins..
194,Bajos instintos,Basic instinct,Paul Verhoeven,194 Bajos instintos = Basic instinct Dir. Paul Verhoeven,194 Bajos instintos = Basic instinct Dir. Paul Verhoeven
195,Bala mordida,,Diego Muñoz Vega,195 Bala mordida Dir. Diego Muñoz Vega,195 Bala mordida Dir. Diego Muñoz Vega
196,"Baño Shower, El",,Zhang Yang,"196 Baño Shower, El Escrita y dir. Zhang Yang","196 Baño Shower, El Escrita y dir. Zhang Yang"
197,Baran,,Majid Majid,197 Baran Dir. Majid Majid ;,197 Baran Dir. Majid Majid ;
198,Barba roja,,Akira Kurosawa,198 Barba roja Dir. Akira Kurosawa,198 Barba roja Dir. Akira Kurosawa
199,Barbara,,Christian Petzold,199 Barbara Dir. Christian Petzold,199 Barbara Dir. Christian Petzold
201,Barroco,,Paul Leduc,201 Barroco Dir. Paul Leduc,201 Barroco Dir. Paul Leduc
218,Shroff.,,,218 Shroff.,218 Shroff.
299,Violante,,,299 Violante,299 Violante
394,Eimbcke.,,,394 Eimbcke.,394 Eimbcke.
